experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,num_sequence,correct,corsi_results_location_0,corsi_results_location_1
corsi_block_example,neat-f98b8e8d-a306-43a7-9775-dbd31f8b750c,1,1,1,1,0.353333,6.034413,2,True,corsi_block_example/neat-f98b8e8d-a306-43a7-9775-dbd31f8b750c/S001/other/corsi_results_T001.json,corsi_results_T001.json
corsi_block_example,neat-f98b8e8d-a306-43a7-9775-dbd31f8b750c,1,2,1,2,7.0307,11.26101,2,True,corsi_block_example/neat-f98b8e8d-a306-43a7-9775-dbd31f8b750c/S001/other/corsi_results_T002.json,corsi_results_T002.json
corsi_block_example,neat-f98b8e8d-a306-43a7-9775-dbd31f8b750c,1,3,1,3,12.2578,17.94283,2,True,corsi_block_example/neat-f98b8e8d-a306-43a7-9775-dbd31f8b750c/S001/other/corsi_results_T003.json,corsi_results_T003.json
corsi_block_example,neat-f98b8e8d-a306-43a7-9775-dbd31f8b750c,1,4,2,1,18.9378,21.04559,3,,,
